FECHA;PROVINCIA;PROFESIONALES_TOTAL;PORCENTAJE_TEST_REALIZADOS;PORCENTAJE_TEST_POSITIVO;codigo_ine
2025-04-24;León;9154;96.08914136;58.88136334;24089
2025-04-24;Palencia;3261;95.76816927;61.30021466;34120
2025-04-24;Segovia;2801;94.57336665;54.90896109;40004
2025-04-24;Soria;2208;93.88586957;54.39311594;42173
2025-04-10;Ávila;3020;91.78807947;54.53642384;5019
2025-04-10;Salamanca;7348;90.0653239;53.67446924;37274
2025-04-10;Segovia;2801;94.57336665;54.90896109;40004
2025-04-10;Castilla y León;49709;94.52614215;56.15683277;99999
2025-04-10;Burgos;7034;96.64486779;53.78163207;9059
2025-04-10;León;9154;96.08914136;58.88136334;24089
2025-04-10;Palencia;3261;95.76816927;61.30021466;34120
2025-04-10;Soria;2208;93.88586957;54.39311594;42173
2025-04-10;Valladolid;11517;94.97264913;58.44403925;47186
2025-04-10;Zamora;3366;95.69221628;49.97029115;49275
2025-03-27;Soria;2208;93.88586957;54.39311594;42173
2025-03-27;Zamora;3366;95.69221628;49.97029115;49275
2025-03-27;Ávila;3020;91.78807947;54.53642384;5019
2025-03-27;Burgos;7034;96.64486779;53.76741541;9059
2025-03-27;Palencia;3261;95.76816927;61.30021466;34120
2025-03-27;Salamanca;7348;90.0653239;53.67446924;37274
2025-03-27;Segovia;2801;94.57336665;54.90896109;40004
2025-03-27;Valladolid;11517;94.97264913;58.44403925;47186
2025-03-27;Castilla y León;49709;94.52614215;56.15482106;99999
2025-03-27;León;9154;96.08914136;58.88136334;24089
2025-03-13;León;9154;96.08914136;58.88136334;24089
2025-03-13;Palencia;3261;95.76816927;61.30021466;34120
2025-03-13;Salamanca;7348;90.0653239;53.67446924;37274
2025-03-13;Soria;2208;93.88586957;54.39311594;42173
2025-03-13;Valladolid;11517;94.97264913;58.45272206;47186
2025-03-13;Burgos;7034;96.64486779;53.76741541;9059
2025-03-13;Zamora;3366;95.69221628;49.97029115;49275
2025-03-13;Ávila;3020;91.78807947;54.53642384;5019
2025-03-13;Segovia;2801;94.57336665;54.90896109;40004
2025-03-13;Castilla y León;49709;94.52614215;56.15683277;99999
2025-02-27;Ávila;3020;91.78807947;54.53642384;5019
2025-02-27;León;9154;96.08914136;58.88136334;24089
2025-02-27;Salamanca;7348;90.0653239;53.67446924;37274
2025-02-27;Soria;2208;93.88586957;54.39311594;42173
2025-02-27;Zamora;3366;95.69221628;49.97029115;49275
2025-02-27;Castilla y León;49709;94.52614215;56.15683277;99999
2025-02-27;Burgos;7034;96.64486779;53.76741541;9059
2025-02-27;Palencia;3261;95.76816927;61.30021466;34120
2025-02-27;Segovia;2801;94.57336665;54.90896109;40004
2025-02-27;Valladolid;11517;94.97264913;58.45272206;47186
2025-02-13;León;9154;96.08914136;58.88136334;24089
2025-02-13;Salamanca;7348;90.0653239;53.68807839;37274
2025-02-13;Soria;2208;93.84057971;54.39311594;42173
2025-02-13;Castilla y León;49709;94.52413044;56.15884447;99999
2025-02-13;Palencia;3261;95.76816927;61.30021466;34120
2025-02-13;Zamora;3366;95.69221628;49.97029115;49275
2025-02-13;Ávila;3020;91.78807947;54.53642384;5019
2025-02-13;Burgos;7034;96.64486779;53.76741541;9059
2025-02-13;Segovia;2801;94.57336665;54.90896109;40004
2025-02-13;Valladolid;11517;94.97264913;58.45272206;47186
2025-01-30;Burgos;7034;96.64486779;53.76741541;9059
2025-01-30;Palencia;3261;95.76816927;61.30021466;34120
2025-01-30;Segovia;2801;94.57336665;54.90896109;40004
2025-01-30;Soria;2208;93.84057971;54.39311594;42173
2025-01-30;Ávila;3020;91.78807947;54.53642384;5019
2025-01-30;León;9154;96.08914136;58.88136334;24089
2025-01-30;Salamanca;7348;90.0653239;53.68807839;37274
2025-01-30;Valladolid;11517;94.97264913;58.45272206;47186
2025-01-30;Zamora;3366;95.69221628;49.97029115;49275
2025-01-30;Castilla y León;49709;94.52413044;56.15884447;99999
2025-01-16;Zamora;3366;95.69221628;49.97029115;49275
2025-01-16;Ávila;3020;91.75496689;54.50331126;5019
2025-01-16;Burgos;7034;96.64486779;53.76741541;9059
2025-01-16;León;9154;96.07821717;58.88136334;24089
2025-01-16;Palencia;3261;95.76816927;61.3308801;34120
2025-01-16;Segovia;2801;94.57336665;54.90896109;40004
2025-01-16;Valladolid;11517;94.97264913;58.45272206;47186
2025-01-16;Salamanca;7348;90.0653239;53.68807839;37274
2025-01-16;Soria;2208;93.84057971;54.34782609;42173
2025-01-16;Castilla y León;49709;94.52010702;56.15683277;99999
2025-01-02;León;9154;96.07821717;58.88136334;24089
2025-01-02;Palencia;3261;95.76816927;61.30021466;34120
2025-01-02;Segovia;2801;94.57336665;54.90896109;40004
2025-01-02;Castilla y León;49709;94.51809531;56.15482106;99999
2025-01-02;Burgos;7034;96.64486779;53.76741541;9059
2025-01-02;Soria;2208;93.84057971;54.34782609;42173
2025-01-02;Valladolid;11517;94.97264913;58.45272206;47186
2025-01-02;Zamora;3366;95.69221628;49.97029115;49275
2025-01-02;Ávila;3020;91.7218543;54.50331126;5019
2025-01-02;Salamanca;7348;90.0653239;53.68807839;37274
2024-12-19;León;9154;96.07821717;58.88136334;24089
2024-12-19;Segovia;2801;94.53766512;54.90896109;40004
2024-12-19;Zamora;3366;95.69221628;49.97029115;49275
2024-12-19;Ávila;3020;91.7218543;54.50331126;5019
2024-12-19;Burgos;7034;96.64486779;53.76741541;9059
2024-12-19;Palencia;3261;95.76816927;61.30021466;34120
2024-12-19;Salamanca;7348;90.0653239;53.68807839;37274
2024-12-19;Castilla y León;49709;94.5140719;56.15280935;99999
2024-12-19;Soria;2208;93.84057971;54.30253623;42173
2024-12-19;Valladolid;11517;94.96396631;58.45272206;47186
2024-12-04;León;9154;96.07821717;58.88136334;24089
2024-12-04;Soria;2208;93.84057971;54.30253623;42173
2024-12-04;Valladolid;11517;94.95528349;58.46140488;47186
2024-12-04;Castilla y León;49709;94.51206019;56.15683277;99999
2024-12-04;Burgos;7034;96.64486779;53.76741541;9059
2024-12-04;Palencia;3261;95.76816927;61.30021466;34120
2024-12-04;Salamanca;7348;90.0653239;53.70168753;37274
2024-12-04;Zamora;3366;95.69221628;49.97029115;49275
2024-12-04;Ávila;3020;91.7218543;54.50331126;5019
2024-12-04;Segovia;2801;94.53766512;54.90896109;40004
2024-11-21;Burgos;7034;96.64486779;53.76741541;9059
2024-11-21;León;9154;96.07821717;58.88136334;24089
2024-11-21;Segovia;2801;94.53766512;54.90896109;40004
2024-11-21;Valladolid;11517;94.95528349;58.46140488;47186
2024-11-21;Ávila;3020;91.7218543;54.50331126;5019
2024-11-21;Palencia;3261;95.76816927;61.30021466;34120
